Region,Material ID,Material Category,Material Subtype,Per Unit,kg CO2e,EF Source,EF Type,Type Rationale,Source Dataset Name
Rest-of-World,MAT-Wood-0001,Wood,Oak,kg,0.0381,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"hardwood forestry, oak, sustainable forest management: cleft timber, measured as dry mass"
Germany,MAT-Wood-0002,Wood,Oak,kg,0.0375,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"hardwood forestry, oak, sustainable forest management: cleft timber, measured as dry mass"
Global,MAT-Wood-0003,Wood,Maple,kg,0.2966,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average
Global,MAT-Wood-0004,Wood,Cherry,kg,0.2966,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average
Global,MAT-Wood-0005,Wood,Walnut,kg,0.2966,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average
Rest-of-World,MAT-Wood-0006,Wood,Beech,kg,0.0401,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"hardwood forestry, beech, sustainable forest management: cleft timber, measured as dry mass"
Germany,MAT-Wood-0007,Wood,Beech,kg,0.0378,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"hardwood forestry, beech, sustainable forest management: cleft timber, measured as dry mass"
Global,MAT-Wood-0008,Wood,Mahogany,kg,0.2506,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average
Rest-of-World,MAT-Wood-0009,Wood,Pine,kg,0.0441,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"softwood forestry, pine, sustainable forest management-cleft timber, measured as dry mass"
Germany,MAT-Wood-0010,Wood,Pine,kg,0.0456,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"softwood forestry, pine, sustainable forest management-cleft timber, measured as dry mass"
Sweden,MAT-Wood-0011,Wood,Pine,kg,0.0418,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"softwood forestry, pine, sustainable forest management-cleft timber, measured as dry mass"
Rest-of-World,MAT-Wood-0012,Wood,Birch,kg,0.0315,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"hardwood forestry, birch, sustainable forest management-cleft timber, measured as dry mass"
Sweden,MAT-Wood-0013,Wood,Birch,kg,0.0302,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"hardwood forestry, birch, sustainable forest management-cleft timber, measured as dry mass"
Global,MAT-Wood-0014,Wood,Teak,kg,0.2966,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average
Global,MAT-Wood-0015,Wood,Ash,kg,0.2966,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average
Global,MAT-Wood-0016,Wood,Alder,kg,0.2966,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average
Global,MAT-Wood-0017,Wood,Rubberwood,kg,0.2966,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average
Global,MAT-Wood-0018,Wood,Rosewood,kg,0.2966,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average
Global,MAT-Wood-0019,Wood,Poplar,kg,0.2966,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average
Philippines,MAT-Wood-0020,Wood,Natural Bamboo,kg,0.6233,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for flattened bamboo
Rest-of-World,MAT-Wood-0021,Wood,Natural Bamboo,kg,0.4777,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for flattened bamboo
Colombia,MAT-Wood-0022,Wood,Natural Bamboo,kg,0.3357,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for flattened bamboo
Brazil,MAT-Wood-0023,Wood,Natural Bamboo,kg,0.3418,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for flattened bamboo
China,MAT-Wood-0024,Wood,Natural Bamboo,kg,0.6671,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for flattened bamboo
Ecuador,MAT-Wood-0025,Wood,Natural Bamboo,kg,0.0995,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for flattened bamboo
Sweden,MAT-Wood-0026,Wood,Strand-Woven Bamboo,kg,0.0102,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Holse & Wibroe Strand Woven Bamboo
Global,MAT-Wood-0027,Wood,Strand-Woven Bamboo,kg,0.0102,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,dasso strand woven bamboo
Europe (RER),MAT-Wood-0028,Wood,Particle Board,kg,0.3588,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for particleboard, uncoated"
Rest-of-World,MAT-Wood-0029,Wood,Particle Board,kg,0.5589,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for particleboard, uncoated"
Rest-of-World,MAT-Wood-0030,Wood,MDF,kg,1.1552,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for medium density fibreboard
Europe,MAT-Wood-0031,Wood,MDF,kg,0.8807,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for medium density fibreboard
China,MAT-Wood-0032,Wood,Plywood,kg,1.6396,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Plywood
Rest-of-World,MAT-Metal-0001,Metal,Stainless Steel,kg,5.3014,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for steel, chromium steel 18/8, hot rolled"
India,MAT-Metal-0002,Metal,Stainless Steel,kg,2.0100,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Stainless Steel Cast & Rolled Products
Europe,MAT-Metal-0003,Metal,Stainless Steel,kg,5.2315,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for steel, chromium steel 18/8, hot rolled"
China,MAT-Metal-0004,Metal,Stainless Steel,kg,5.7400,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Stainless steel
"IAI Area, EU27 & EFTA",MAT-Metal-0005,Metal,Primary Aluminum,kg,10.1846,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for aluminium, primary, ingot"
Rest-of-World,MAT-Metal-0006,Metal,Primary Aluminum,kg,21.3187,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for aluminium, primary, ingot"
"IAI Area, North America",MAT-Metal-0007,Metal,Primary Aluminum,kg,10.9904,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for aluminium, primary, ingot"
Global,MAT-Metal-0008,Metal,Hot Rolled Low-Alloy Steel,kg,2.3272,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for steel, low-alloyed, hot rolled"
India,MAT-Metal-0009,Metal,Hot Rolled Low-Alloy Steel,kg,,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Steel Hot Rolled Coils
Global,MAT-Metal-0010,Metal,Steel Section Bar,kg,0.2071,Ecoinvent,Direct,"To accurately represent the environmental impact of steel section bars in our database, we combined  the two Ecoinvent datasets market for steel, low-alloyed, hot rolled and arket for section bar rolling, steel.","market for steel, low-alloyed, hot rolled and market for section bar rolling, steel"
China,MAT-Metal-0011,Metal,Steel Section Bar,kg,4.3800,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Hot-rolled section steel
India,MAT-Metal-0012,Metal,Steel Section Bar,kg,2.5800,EPD,Proxy,A specific emission factor was applied based on a direct match to the selected material.,Steel Hot Rolled Coils
Global,MAT-Metal-0013,Metal,Steel Sheet,kg,2.7039,Ecoinvent,Direct,"To accurately represent the environmental impact of steel section bars in our database, we combined  the two Ecoinvent datasets market for steel, low-alloyed, hot rolled and market for sheet rolling, steel.","market for steel, low-alloyed, hot rolled and market for sheet rolling, steel"
India,MAT-Metal-0014,Metal,Steel Sheet,kg,2.5800,EPD,Proxy,A specific emission factor was applied based on a direct match to the selected material.,Steel Hot Rolled Coils
Global,MAT-Metal-0015,Metal,Powdercoat Steel,kg,3.5020,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for powder coat, steel"
Global,MAT-Metal-0016,Metal,Wrought Aluminium,kg,13.4214,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for aluminium, wrought alloy"
China,MAT-Metal-0017,Metal,Wrought Aluminium,kg,26.4000,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Aluminum
Global,MAT-Metal-0018,Metal,Aluminium Section Bar,kg,0.8707,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for section bar extrusion, aluminium"
Global,MAT-Metal-0019,Metal,Cast Aluminium,kg,6.4362,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for aluminium, cast alloy"
Global,MAT-Metal-0020,Metal,Chromed Steel,kg,2.3272,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for steel, low-alloyed, hot rolled"
Global,MAT-Metal-0021,Metal,Wrought Iron,kg,2.3272,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for steel, low-alloyed, hot rolled"
Global,MAT-Metal-0022,Metal,Cast Iron,kg,1.8626,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for cast iron
Rest-of-World,MAT-Metal-0023,Metal,Brass,kg,5.9188,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for brass
Switzerland,MAT-Metal-0024,Metal,Brass,kg,5.8024,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for brass
Global,MAT-Metal-0025,Metal,Copper,kg,6.8682,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for copper, cathode"
Global,MAT-Metal-0026,Metal,Zinc,kg,3.0407,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for zinc
Global,MAT-Metal-0027,Metal,Titanium,kg,47.1875,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for titanium
Global,MAT-Metal-0028,Metal,Mild Steel,kg,2.3272,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for steel, low-alloyed, hot rolled"
China,MAT-Metal-0029,Metal,Galvanized Steel,kg,5.1800,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,Galvanized coated steel sheet metal
Global,MAT-Metal-0030,Metal,Nickel,kg,16.8056,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for nickel, class 1"
Global,MAT-Plastic-0001,Plastic,Polypropylene (PP),kg,3.1578,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polypropylene, granulate"
Global,MAT-Plastic-0002,Plastic,Acrylonitrile Butadiene Styrene (ABS),kg,4.8464,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for acrylonitrile-butadiene-styrene copolymer
Rest-of-World,MAT-Plastic-0003,Plastic,Polyvinyl Chloride (PVC),kg,3.0804,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyvinyl chloride, emulsion polymerised"
Europe,MAT-Plastic-0004,Plastic,Polyvinyl Chloride (PVC),kg,2.4514,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyvinyl chloride, emulsion polymerised"
Rest-of-World,MAT-Plastic-0005,Plastic,Polycarbonate (PC),kg,6.3068,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for polycarbonate
Europe,MAT-Plastic-0006,Plastic,Polycarbonate (PC),kg,5.1662,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for polycarbonate
Global,MAT-Plastic-0007,Plastic,High-Density Polyethylene (HDPE),kg,2.9352,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyethylene, high density, granulat"
Rest-of-World,MAT-Plastic-0008,Plastic,Polyurethane (PU),kg,6.2290,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyurethane, rigid foam"
Europe,MAT-Plastic-0009,Plastic,Polyurethane (PU),kg,4.3779,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyurethane, rigid foam"
Rest-of-World,MAT-Plastic-0010,Plastic,Acrylic (PMMA),kg,7.9165,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for polymethyl methacrylate
Europe,MAT-Plastic-0011,Plastic,Acrylic (PMMA),kg,6.9252,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for polymethyl methacrylate
Rest-of-World,MAT-Plastic-0012,Plastic,Nylon (Polyamide),kg,8.6466,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,market for nylon 6-6
Europe,MAT-Plastic-0013,Plastic,Nylon (Polyamide),kg,8.5773,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,market for nylon 6-6
Global,MAT-Plastic-0014,Plastic,Polyethylene Terephthalate (PET),kg,3.6614,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyethylene terephthalate, granulate, bottle grade"
Rest-of-World,MAT-Plastic-0015,Plastic,Expanded Polystyrene (EPS),kg,3.8258,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"polystyrene production, expandable"
Global,MAT-Plastic-0016,Plastic,Low-Density Polyethylene (LDPE),kg,3.6614,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for polyethylene terephthalate, granulate, bottle grade"
Rest-of-World,MAT-Plastic-0017,Plastic,Melamine-Formaldehyde (MF),kg,6.1494,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for melamine formaldehyde resin
Europe,MAT-Plastic-0018,Plastic,Melamine-Formaldehyde (MF),kg,5.7828,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for melamine formaldehyde resin
Global,MAT-Plastic-0019,Plastic,Polyvinyl Butyral (PVB),kg,3.4935,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,market for ethylene vinyl acetate copolymer
Global,MAT-Plastic-0020,Plastic,Thermoplastic Elastomers (TPE),kg,3.4935,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,market for ethylene vinyl acetate copolymer
Global,MAT-Glass-0001,Glass,Tempered Glass,kg,1.0777,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for flat glass, uncoated"
Europe,MAT-Glass-0002,Glass,Tempered Glass,kg,0.9969,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for flat glass, uncoated"
Global,MAT-Glass-0003,Glass,Laminated Glass,kg,1.8518,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for glazing, double, U<1.1 W/m2K, laminated safety glass"
Global,MAT-Glass-0004,Glass,Frosted Glass,kg,1.1642,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Patterned Glass
Global,MAT-Glass-0005,Glass,Clear Float Glass,kg,1.0777,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for flat glass, uncoated"
Europe,MAT-Glass-0006,Glass,Clear Float Glass,kg,0.9969,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"market for flat glass, uncoated"
Egypt,MAT-Glass-0007,Glass,Tinted Glass,kg,1.7208,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Body-tinted glass
Sweden,MAT-Glass-0008,Glass,Low-Iron Glass,kg,1.3273,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Low-Iron Float Glass
Turkey,MAT-Glass-0009,Glass,Patterned or Textured Glass,kg,2.2141,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Patterned Glass
Canada,MAT-Glass-0010,Glass,Acid-Etched Glass,kg,0.4628,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,"Acid-etched glass in four finishes: Satinlite, Satin, Velour, Opaque."
Sweden,MAT-Glass-0011,Glass,Smart Glass,kg,2.3636,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,smart dynamic glass
China,MAT-Glass-0012,Glass,Insulated Glass Units (IGUs),kg,1.6075,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Insulated glass
Brazil,MAT-Glass-0013,Glass,Colored Glass,kg,0.3240,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Clear and colored flat glass
Turkey,MAT-Glass-0014,Glass,Mirrored Glass,kg,1.2058,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Mirror
Rest-of-World,MAT-Fab-0001,Fabric,Polyester,kg,5.1121,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for fibre, polyester"
Rest-of-World,MAT-Fab-0002,Fabric,Nylon,kg,8.6455,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for nylon 6-6
Europe,MAT-Fab-0003,Fabric,Nylon,kg,8.5784,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for nylon 6-6
China,MAT-Fab-0004,Fabric,Polyester,kg,13.0177,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Dope Dyed Polyester Knitted Fabric
